recpid,recpname,recpversion,count,mean,mode,lower_bound,upper_bound
3SRI3.02,3SRI3,.02,4216,0.0,0,0,0
3SRM1.04,3SRM1,.04,3739,1029.843808504948,448,350,2412
3SRM1.05,3SRM1,.05,31,723.9032258064516,310,310,1518
3SRM1.06,3SRM1,.06,127,1350.976377952756,375,316,4427
3SRM1.08,3SRM1,.08,116,886.301724137931,420,346,1882
3SRM1.09,3SRM1,.09,3,819.6666666666666,311,311,1514
3SRM1.11,3SRM1,.11,21,678.2380952380952,0,0,2242
3SRM1.12,3SRM1,.12,6634,561.8408200180886,416,331,1156
3STD1.03,3STD1,.03,266,21201.244360902256,177,177,43903
3STD1.04,3STD1,.04,235,12088.089361702128,2214,1726,26325
3T001.02,3T001,.02,7,251.57142857142858,14,14,1268
3T0V1.02,3T0V1,.02,7,20.0,0,0,79
3T2D1.03,3T2D1,.03,5302,1106.8609958506224,1282,472,1364
3T2D1.04,3T2D1,.04,8473,985.4549746252803,1282,295,1665
3TC01.03,3TC01,.03,5,19.8,25,11,25
3TED1.01,3TED1,.01,13375,4249.90385046729,3940,794,7943
3TFI1.04,3TFI1,.04,1,40547290.0,40547290,40547290,40547290
3TFI1.06,3TFI1,.06,17851,84081.2012212201,21554,1722,323229
3TFI1.07,3TFI1,.07,5821,61866.050506785774,62388,8538,167930
3TI06.05,3TI06,.05,301,368865.6146179402,64823,29,1704970
3TI06.06,3TI06,.06,171,115133.85964912281,220172,6386,335816
3TI08.01,3TI08,.01,172,0.0,0,0,0
3TI09.01,3TI09,.01,94,0.0,0,0,0
3TMG1.01,3TMG1,.01,11289,1226.1802639737798,767,368,3173
3TPL1.02,3TPL1,.02,16086,10390.605619793609,5702,3105,17675
3TPL2.02,3TPL2,.02,996,0.0,0,0,0
3TPM1.05,3TPM1,.05,5679,4848.713153724248,2983,528,9435
3TPM1.06,3TPM1,.06,8708,3620.3611621497475,2763,823,9394
3TPM7.01,3TPM7,.01,2506,0.0,0,0,0
3TSC1.01,3TSC1,.01,5306,1070.7872220128156,900,421,1679
3TSC1.02,3TSC1,.02,8423,896.5724801139736,896,274,1630
3TSC2.01,3TSC2,.01,5381,4000.439137706746,3600,1738,6227
3TSC2.02,3TSC2,.02,7937,3400.0983998992065,3604,1081,5994
3TSD1.01,3TSD1,.01,13551,1407.5847538927017,1213,327,2611
3TSD2.03,3TSD2,.03,14041,7679.553308168934,5367,1520,14343
3TSE1.02,3TSE1,.02,5296,634.8716012084592,733,286,889
3TSE1.03,3TSE1,.03,8366,636.0191250298828,727,278,1030
3TSE2.02,3TSE2,.02,5417,1225.8246261768506,671,309,4259
3TSE2.03,3TSE2,.03,7986,1045.3686451289757,684,269,3703
3TSP1.01,3TSP1,.01,14135,3306.1671736823487,2721,605,6007
3TT04.04,3TT04,.04,229,15438.06113537118,3,2,53053
3TT04.05,3TT04,.05,312,25600.53205128205,0,0,91037
3TT04.06,3TT04,.06,102,44771.98039215686,5182,22877,66666
3TUV1.03,3TUV1,.03,3,0.0,0,0,0
3TUV1.04,3TUV1,.04,12704,676.7829817380352,326,144,1715
3TUV1.05,3TUV1,.05,10348,490.6961731735601,336,67,913
3TVI1.07,3TVI1,.07,5,0.0,0,0,0
3TVI1.08,3TVI1,.08,177519,41395.89089055256,15108,9822,87724
3TVI1.09,3TVI1,.09,89321,48607.238991950384,15351,9005,107185
3TVI1.10,3TVI1,.10,19927,39327.21498469413,8175,7458,88805
3TVI2.06,3TVI2,.06,5850,70188.97452991453,14848,13575,146166
3TVI2.07,3TVI2,.07,1846,52433.08667388949,9355,9053,113565
3TVI2.08,3TVI2,.08,1266,38459.44628751975,13723,7067,82778
3TVI2.09,3TVI2,.09,126,61166.619047619046,59851,15356,127682
3UVI1.02,3UVI1,.02,5399,1868.86608631228,3,2,5328
3UVI1.03,3UVI1,.03,5802,1770.1695966907962,1564,490,3098
3UVI2.01,3UVI2,.01,5384,1098.819836552749,3,2,4306
3UVI2.02,3UVI2,.02,5813,1978.5487699982798,1143,436,4972
3UVI4.01,3UVI4,.01,11,5.545454545454546,0,0,19
3UVI4.02,3UVI4,.02,9,7.333333333333333,0,0,28
3VDC1.04,3VDC1,.04,5642,1736.9567529244948,1803,259,3214
3VDC1.05,3VDC1,.05,15,2067.8,0,0,5291
3VDC1.06,3VDC1,.06,5,1976.8,1352,1352,2257
3VDC1.07,3VDC1,.07,65,2092.5384615384614,1980,557,4045
3VDC1.08,3VDC1,.08,8322,2325.368541216054,0,0,6261
3VI01.01,3VI01,.01,211,0.0,0,0,0
3VI01.02,3VI01,.02,6226,25.03838740764536,3,2,90
3VI01.03,3VI01,.03,428,7.490654205607477,3,2,23
3VI02.01,3VI02,.01,203,0.0,0,0,0
3VI02.02,3VI02,.02,404,18.15841584158416,0,0,98
3VI02.03,3VI02,.03,1600,35.658125,14,7,134
3VI02.04,3VI02,.04,2,0.0,0,0,0
3VI02.05,3VI02,.05,3636,37.70929592959296,7,6,134
3VI02.06,3VI02,.06,1040,29.05480769230769,14,6,120
3VI03.01,3VI03,.01,203,0.0,0,0,0
3VI03.02,3VI03,.02,425,5.661176470588235,0,0,21
3VI04.01,3VI04,.01,354,0.0,0,0,0
3VI04.02,3VI04,.02,3442,0.0,0,0,0
3VI04.03,3VI04,.03,3146,0.0,0,0,0
3VI05.02,3VI05,.02,2267,49.78341420379356,0,0,160
3VI05.03,3VI05,.03,4,146.75,0,0,265
3VI05.04,3VI05,.04,4859,47.881662893599504,10,4,148
3VI06.01,3VI06,.01,135,0.0,0,0,0
3VI06.02,3VI06,.02,4337,110.86488356006456,3,0,365
3VI07.01,3VI07,.01,129,0.0,0,0,0
3VI07.02,3VI07,.02,34,0.0,0,0,0
3VI07.03,3VI07,.03,2,0.0,0,0,0
3VI07.04,3VI07,.04,119,0.3025210084033613,0,0,2
3VI07.05,3VI07,.05,3538,4.14104013566987,2,0,9
3VI07.06,3VI07,.06,276,2.4347826086956523,2,0,4
3VI07.07,3VI07,.07,2,3.0,3,3,3
3VI07.08,3VI07,.08,3031,2927.5635103926097,3,2,7449
3VI08.01,3VI08,.01,201,0.0,0,0,0
3VI08.02,3VI08,.02,6979,44.31136265940679,3,2,171
3VI09.01,3VI09,.01,196,0.0,0,0,0
3VI09.02,3VI09,.02,8723,4749.586266192823,3,2,29617
3VI10.02,3VI10,.02,53,0.0,0,0,0
3VI10.03,3VI10,.03,143,0.0,0,0,0
3VI10.04,3VI10,.04,404,18.044554455445546,0,0,90
3VI10.05,3VI10,.05,1764,26.857709750566894,14,4,109
3VI10.06,3VI10,.06,8,9.25,0,0,27
